problem_index,problem_id,rtllm_path,top_module,workflow,model,skill,spec_path,rtl_path,rtl_archived,gen_status,vcs_compile,vcs_sim,sim_message,notes,updated_at
1,accu,Arithmetic/Accumulator/accu,accu,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/accu/workflow_a/accu.v,experiments/artifacts/accu/workflow_a/accu.v,archived,pass,pass,pass,,2026-06-23T04:35:10Z
2,adder_16bit,Arithmetic/Adder/adder_16bit,adder_16bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_16bit/workflow_a/adder_16bit.v,experiments/artifacts/adder_16bit/workflow_a/adder_16bit.v,archived,pass,pass,pass,,2026-06-23T04:36:15Z
3,adder_32bit,Arithmetic/Adder/adder_32bit,adder_32bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_32bit/workflow_a/adder_32bit.v,experiments/artifacts/adder_32bit/workflow_a/adder_32bit.v,archived,pass,pass,pass,,2026-06-23T04:37:23Z
4,adder_8bit,Arithmetic/Adder/adder_8bit,adder_8bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_8bit/workflow_a/adder_8bit.v,experiments/artifacts/adder_8bit/workflow_a/adder_8bit.v,archived,pass,pass,pass,,2026-06-23T04:38:48Z
5,adder_bcd,Arithmetic/Adder/adder_bcd,adder_bcd,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_bcd/workflow_a/adder_bcd.v,experiments/artifacts/adder_bcd/workflow_a/adder_bcd.v,archived,pass,pass,pass,,2026-06-23T04:40:42Z
6,adder_pipe_64bit,Arithmetic/Adder/adder_pipe_64bit,adder_pipe_64bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_pipe_64bit/workflow_a/adder_pipe_64bit.v,experiments/artifacts/adder_pipe_64bit/workflow_a/adder_pipe_64bit.v,archived,pass,pass,pass,,2026-06-23T04:44:25Z
7,comparator_3bit,Arithmetic/Comparator/comparator_3bit,comparator_3bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/comparator_3bit/workflow_a/comparator_3bit.v,experiments/artifacts/comparator_3bit/workflow_a/comparator_3bit.v,archived,pass,pass,pass,,2026-06-23T04:46:01Z
8,comparator_4bit,Arithmetic/Comparator/comparator_4bit,comparator_4bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/comparator_4bit/workflow_a/comparator_4bit.v,experiments/artifacts/comparator_4bit/workflow_a/comparator_4bit.v,archived,pass,pass,pass,,2026-06-23T04:47:23Z
9,div_16bit,Arithmetic/Divider/div_16bit,div_16bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/div_16bit/workflow_a/div_16bit.v,experiments/artifacts/div_16bit/workflow_a/div_16bit.v,archived,pass,pass,pass,,2026-06-23T04:49:51Z
10,radix2_div,Arithmetic/Divider/radix2_div,radix2_div,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/radix2_div/workflow_a/radix2_div.v,experiments/artifacts/radix2_div/workflow_a/radix2_div.v,archived,pass,fail,"Error: dividend=255, divisor=  7, expected=0324, got=0100",,2026-06-23T07:51:16Z
10,radix2_div,Arithmetic/Divider/radix2_div,radix2_div,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/radix2_div/workflow_b/radix2_div.v,experiments/artifacts/radix2_div/workflow_b/radix2_div.v,archived,pass,pass,pass,,2026-06-23T13:32:44Z
11,multi_16bit,Arithmetic/Multiplier/multi_16bit,multi_16bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/multi_16bit/workflow_a/multi_16bit.v,experiments/artifacts/multi_16bit/workflow_a/multi_16bit.v,archived,pass,pass,pass,,2026-06-23T08:00:06Z
12,multi_8bit,Arithmetic/Multiplier/multi_8bit,multi_8bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/multi_8bit/workflow_a/multi_8bit.v,experiments/artifacts/multi_8bit/workflow_a/multi_8bit.v,archived,pass,pass,pass,,2026-06-23T08:01:52Z
