problem_index,problem_id,rtllm_path,top_module,workflow,model,skill,spec_path,rtl_path,rtl_archived,gen_status,vcs_compile,vcs_sim,sim_message,notes,updated_at
78,dualedge,,TopModule,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/dualedge/workflow_a/TopModule.v,experiments/artifacts_verilogeval/dualedge/workflow_a/TopModule.v,archived,pass,pass,pass (no mismatches),,2026-06-23T16:43:57Z
95,review2015_fsmshift,,TopModule,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/review2015_fsmshift/workflow_a/TopModule.v,experiments/artifacts_verilogeval/review2015_fsmshift/workflow_a/TopModule.v,archived,pass,pass,pass (no mismatches),,2026-06-23T16:44:22Z
96,review2015_fsmseq,,TopModule,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/review2015_fsmseq/workflow_a/TopModule.v,experiments/artifacts_verilogeval/review2015_fsmseq/workflow_a/TopModule.v,archived,pass,fail,Hint: Total mismatched samples is 12 out of 644 samples | Mismatches: 12 in 644 samples,Pass@1 first attempt only,2026-06-23T16:49:07Z
99,m2014_q6c,,TopModule,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/m2014_q6c/workflow_a/TopModule.v,experiments/artifacts_verilogeval/m2014_q6c/workflow_a/TopModule.v,archived,fail,skip,1 warning 2 errors CPU time: .130 seconds to compile ,dataset bug: testbench uses Y2/Y4 but RefModule uses Y1/Y3 (Pass@1),2026-06-23T16:49:32Z
121,2014_q3bfsm,,TopModule,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/2014_q3bfsm/workflow_a/TopModule.v,experiments/artifacts_verilogeval/2014_q3bfsm/workflow_a/TopModule.v,archived,pass,pass,pass (no mismatches),,2026-06-23T16:47:49Z
124,rule110,,TopModule,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/rule110/workflow_a/TopModule.v,experiments/artifacts_verilogeval/rule110/workflow_a/TopModule.v,archived,pass,fail,Hint: Total mismatched samples is 6220 out of 6284 samples | Mismatches: 6220 in 6284 samples,,2026-06-23T16:48:38Z
78,dualedge,,TopModule,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/dualedge/workflow_b/TopModule.v,experiments/artifacts_verilogeval/dualedge/workflow_b/TopModule.v,archived,pass,pass,pass (no mismatches),,2026-06-23T16:52:14Z
95,review2015_fsmshift,,TopModule,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/review2015_fsmshift/workflow_b/TopModule.v,experiments/artifacts_verilogeval/review2015_fsmshift/workflow_b/TopModule.v,archived,pass,pass,pass (no mismatches),,2026-06-23T16:56:20Z
96,review2015_fsmseq,,TopModule,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/review2015_fsmseq/workflow_b/TopModule.v,experiments/artifacts_verilogeval/review2015_fsmseq/workflow_b/TopModule.v,archived,pass,pass,pass (no mismatches),,2026-06-23T16:57:16Z
99,m2014_q6c,,TopModule,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts_verilogeval/m2014_q6c/workflow_b/TopModule.v,experiments/artifacts_verilogeval/m2014_q6c/workflow_b/TopModule.v,archived,fail,skip,1 warning 2 errors CPU time: .130 seconds to compile ,,2026-06-23T16:58:55Z
